Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Neural Network,Original,Accuracy,0.9446831801196671,0.0065409837089137985,0.9400040422517724,0.9493623179875619
Neural Network,Original,Precision,0.934929513658717,0.006512405766772019,0.9302708192190913,0.9395882080983428
Neural Network,Original,Recall,0.9035717078291352,0.023533142801217516,0.8867371116075162,0.9204063040507542
Neural Network,Original,F1-Score,0.915952964660536,0.015101201634052317,0.9051502157834344,0.9267557135376376
Neural Network,con,Accuracy,0.3246024063061817,0.000774443368828659,0.3240484028940209,0.3251564097183425
Neural Network,con,Precision,0.2468228501418086,0.02566418133483265,0.22846380078831696,0.26518189949530024
Neural Network,con,Recall,0.21745208568207444,0.00042089440060127936,0.21715099596592755,0.21775317539822134
Neural Network,con,F1-Score,0.12493330594434134,0.0007390848586017477,0.1244045964866556,0.1254620154020271
