Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Neural Network,Original,Accuracy,91.31,0.01018,90.58,92.04
Neural Network,Original,Precision,91.98,0.00846,91.38,92.59
Neural Network,Original,Recall,91.49,0.01009,90.77,92.21
Neural Network,Original,F1-Score,91.65,0.00978,90.95,92.35
Neural Network,frag,Accuracy,19.46,0.02738,17.5,21.42
Neural Network,frag,Precision,5.94,0.06053,1.61,10.27
Neural Network,frag,Recall,20.96,0.02888,18.9,23.03
Neural Network,frag,F1-Score,7.88,0.03981,5.03,10.73
