Model,Dataset,Metric,Mean,Std Dev,CI Lower,CI Upper
Neural Network,Original,Accuracy,0.9867717286180808,0.0018399351855544475,0.9854555182765893,0.9880879389595724
Neural Network,Original,Precision,0.9872600405965667,0.001949863914895325,0.9858651919793786,0.9886548892137548
Neural Network,Original,Recall,0.9864039650597899,0.0018572764168854243,0.985075349548708,0.9877325805708718
Neural Network,Original,F1-Score,0.9868060522238398,0.00186611014992169,0.985471117440825,0.9881409870068545
Neural Network,del,Accuracy,0.46786360286728745,0.045102725936512864,0.4355990563913168,0.5001281493432581
Neural Network,del,Precision,0.5827803905444892,0.0969817342660248,0.5134038371860311,0.6521569439029472
Neural Network,del,Recall,0.4922133579694929,0.04917001922370684,0.45703924515199346,0.5273874707869923
Neural Network,del,F1-Score,0.4139603139857109,0.062352983368263934,0.36935567672647746,0.4585649512449444
